epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,10335.2,0.8962,0.6278,1.25135,0.84439,0.8975,0.88689,0.69036,0.84476,121.113,1.1944,0.00535937,0.00535937,0.00535937
122,10421.1,0.89802,0.63115,1.25268,0.84314,0.89777,0.88709,0.69025,0.8442,121.112,1.19385,0.0053207,0.0053207,0.0053207
123,10508.6,0.89377,0.62697,1.24983,0.84601,0.89561,0.88732,0.69078,0.84392,121.205,1.19361,0.00528203,0.00528203,0.00528203
124,10591.6,0.89077,0.6275,1.25073,0.8468,0.89575,0.88756,0.69108,0.84353,121.39,1.19334,0.00524336,0.00524336,0.00524336
125,10679.8,0.89006,0.62018,1.24715,0.84612,0.8964,0.88776,0.69133,0.84303,121.39,1.1929,0.00520469,0.00520469,0.00520469
126,10767.3,0.88588,0.62134,1.24422,0.84607,0.89604,0.88796,0.69152,0.84294,121.39,1.19274,0.00516602,0.00516602,0.00516602
127,10850.4,0.89245,0.62521,1.24932,0.84654,0.8946,0.88814,0.69177,0.84268,121.389,1.19252,0.00512734,0.00512734,0.00512734
128,10938.3,0.88864,0.62701,1.25167,0.84607,0.89482,0.88852,0.69225,0.84224,121.202,1.19224,0.00508867,0.00508867,0.00508867
129,11021.6,0.88821,0.61901,1.24436,0.84659,0.89426,0.88878,0.69253,0.8418,121.015,1.19186,0.00505,0.00505,0.00505
130,11109.6,0.88181,0.61727,1.24524,0.84732,0.89347,0.88892,0.69275,0.84154,120.922,1.19168,0.00501133,0.00501133,0.00501133
131,11192.3,0.88407,0.61485,1.24073,0.84726,0.89434,0.88925,0.69347,0.84139,120.921,1.19148,0.00497266,0.00497266,0.00497266
132,11279.9,0.88086,0.6155,1.24179,0.84665,0.89364,0.88914,0.69348,0.84108,120.921,1.1912,0.00493398,0.00493398,0.00493398
133,11363.1,0.87856,0.61201,1.23645,0.84648,0.8946,0.88928,0.69388,0.84082,120.921,1.19106,0.00489531,0.00489531,0.00489531
134,11451.2,0.87854,0.60715,1.23617,0.84727,0.89478,0.88933,0.69395,0.84041,120.734,1.19052,0.00485664,0.00485664,0.00485664
135,11533.9,0.87462,0.60969,1.23635,0.84667,0.89588,0.88943,0.69404,0.84006,120.733,1.19018,0.00481797,0.00481797,0.00481797
136,11619.7,0.8756,0.60854,1.23827,0.84609,0.89671,0.8894,0.69392,0.83952,120.733,1.18982,0.0047793,0.0047793,0.0047793
137,11703.2,0.88062,0.61229,1.23854,0.84635,0.89679,0.88958,0.69411,0.83933,120.546,1.18958,0.00474063,0.00474063,0.00474063
138,11787.6,0.86903,0.6058,1.23131,0.84683,0.89792,0.88963,0.69433,0.83907,120.546,1.18936,0.00470195,0.00470195,0.00470195
