160,县直、高中400米，800米，1500米,"[分,秒]","{""1"":7,""2"":5,""3"":4,""4"":3,""5"":2,""6"":1,""7"":0}",37,1
161,农村、初中4*接力,"[分,秒]","{""1"":18,""2"":14,""3"":12,""4"":10,""5"":8,""6"":6,""7"":4,""8"":2,""9"":0}",37,1
162,农村、初中400米，800米，1500米,"[分,秒]","{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",37,1
163,农村、初中田赛通用,[米],"{""1"":10,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",37,1
164,县直、高中100米，200米,[秒],"{""1"":7,""2"":5,""3"":4,""4"":3,""5"":2,""6"":1,""7"":0}",38,1
165,县直、高中田赛通用,[米],"{""1"":7,""2"":5,""3"":4,""4"":3,""5"":2,""6"":1,""7"":0}",38,1
166,高中4*接力,"[米,秒]","{""1"":14,""2"":10,""3"":8,""4"":6,""5"":0}",38,1
167,农村、初中200米，100米,[秒],"{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",38,1
168,县直4*接力,"[米,秒]","{""1"":7,""2"":5,""3"":4,""4"":3,""5"":2,""6"":1,""7"":0}",38,1
169,县直、高中400米，800米，1500米,"[分,秒]","{""1"":7,""2"":5,""3"":4,""4"":3,""5"":2,""6"":1,""7"":0}",38,1
170,农村、初中4*接力,"[分,秒]","{""1"":18,""2"":14,""3"":12,""4"":10,""5"":8,""6"":6,""7"":4,""8"":2,""9"":0}",38,1
171,农村、初中400米，800米，1500米,"[分,秒]","{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",38,1
172,农村、初中田赛通用,[米],"{""1"":10,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",38,1
173,长跑通用（排名赋分）,"[分,秒]","{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",39,1
174,田赛通用（排名赋分）,[米],"{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",39,1
175,短跑通用（排名赋分）,[秒],"{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",39,1
176,县直、高中100米，200米,[秒],"{""1"":7,""2"":5,""3"":4,""4"":3,""5"":2,""6"":1,""7"":0}",40,1
177,县直、高中田赛通用,[米],"{""1"":7,""2"":5,""3"":4,""4"":3,""5"":2,""6"":1,""7"":0}",40,1
178,高中4*接力,"[米,秒]","{""1"":14,""2"":10,""3"":8,""4"":6,""5"":0}",40,1
179,农村、初中200米，100米,[秒],"{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",40,1
180,县直4*接力,"[米,秒]","{""1"":7,""2"":5,""3"":4,""4"":3,""5"":2,""6"":1,""7"":0}",40,1
181,县直、高中400米，800米，1500米,"[分,秒]","{""1"":7,""2"":5,""3"":4,""4"":3,""5"":2,""6"":1,""7"":0}",40,1
182,农村、初中4*接力,"[分,秒]","{""1"":18,""2"":14,""3"":12,""4"":10,""5"":8,""6"":6,""7"":4,""8"":2,""9"":0}",40,1
183,农村、初中400米，800米，1500米,"[分,秒]","{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",40,1
184,农村、初中田赛通用,[米],"{""1"":10,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",40,1
185,县直、高中100米，200米,[秒],"{""1"":7,""2"":5,""3"":4,""4"":3,""5"":2,""6"":1,""7"":0}",41,1
186,县直、高中田赛通用,[米],"{""1"":7,""2"":5,""3"":4,""4"":3,""5"":2,""6"":1,""7"":0}",41,1
187,高中4*接力,"[米,秒]","{""1"":14,""2"":10,""3"":8,""4"":6,""5"":0}",41,1
188,农村、初中200米，100米,[秒],"{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",41,1
189,县直4*接力,"[米,秒]","{""1"":7,""2"":5,""3"":4,""4"":3,""5"":2,""6"":1,""7"":0}",41,1
190,县直、高中400米，800米，1500米,"[分,秒]","{""1"":7,""2"":5,""3"":4,""4"":3,""5"":2,""6"":1,""7"":0}",41,1
191,农村、初中4*接力,"[分,秒]","{""1"":18,""2"":14,""3"":12,""4"":10,""5"":8,""6"":6,""7"":4,""8"":2,""9"":0}",41,1
192,农村、初中400米，800米，1500米,"[分,秒]","{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",41,1
193,农村、初中田赛通用,[米],"{""1"":10,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",41,1
194,县直、高中100米，200米,[秒],"{""1"":7,""2"":5,""3"":4,""4"":3,""5"":2,""6"":1,""7"":0}",42,1
195,县直、高中田赛通用,[米],"{""1"":7,""2"":5,""3"":4,""4"":3,""5"":2,""6"":1,""7"":0}",42,1
196,高中4*接力,"[米,秒]","{""1"":14,""2"":10,""3"":8,""4"":6,""5"":0}",42,1
197,农村、初中200米，100米,[秒],"{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",42,1
198,县直4*接力,"[米,秒]","{""1"":7,""2"":5,""3"":4,""4"":3,""5"":2,""6"":1,""7"":0}",42,1
199,县直、高中400米，800米，1500米,"[分,秒]","{""1"":7,""2"":5,""3"":4,""4"":3,""5"":2,""6"":1,""7"":0}",42,1
200,农村、初中4*接力,"[分,秒]","{""1"":18,""2"":14,""3"":12,""4"":10,""5"":8,""6"":6,""7"":4,""8"":2,""9"":0}",42,1
201,农村、初中400米，800米，1500米,"[分,秒]","{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",42,1
202,农村、初中田赛通用,[米],"{""1"":10,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",42,1
203,县直、高中100米，200米,[秒],"{""1"":7,""2"":5,""3"":4,""4"":3,""5"":2,""6"":1,""7"":0}",43,1
204,县直、高中田赛通用,[米],"{""1"":7,""2"":5,""3"":4,""4"":3,""5"":2,""6"":1,""7"":0}",43,1
205,高中4*接力,"[米,秒]","{""1"":14,""2"":10,""3"":8,""4"":6,""5"":0}",43,1
206,农村、初中200米，100米,[秒],"{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",43,1
207,县直4*接力,"[米,秒]","{""1"":7,""2"":5,""3"":4,""4"":3,""5"":2,""6"":1,""7"":0}",43,1
208,县直、高中400米，800米，1500米,"[分,秒]","{""1"":7,""2"":5,""3"":4,""4"":3,""5"":2,""6"":1,""7"":0}",43,1
209,农村、初中4*接力,"[分,秒]","{""1"":18,""2"":14,""3"":12,""4"":10,""5"":8,""6"":6,""7"":4,""8"":2,""9"":0}",43,1
210,农村、初中400米，800米，1500米,"[分,秒]","{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",43,1
211,农村、初中田赛通用,[米],"{""1"":10,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",43,1
212,县直、高中100米，200米,[秒],"{""1"":7,""2"":5,""3"":4,""4"":3,""5"":2,""6"":1,""7"":0}",44,1
213,县直、高中田赛通用,[米],"{""1"":7,""2"":5,""3"":4,""4"":3,""5"":2,""6"":1,""7"":0}",44,1
214,高中4*接力,"[米,秒]","{""1"":14,""2"":10,""3"":8,""4"":6,""5"":0}",44,1
215,农村、初中200米，100米,[秒],"{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",44,1
216,县直4*接力,"[米,秒]","{""1"":7,""2"":5,""3"":4,""4"":3,""5"":2,""6"":1,""7"":0}",44,1
217,县直、高中400米，800米，1500米,"[分,秒]","{""1"":7,""2"":5,""3"":4,""4"":3,""5"":2,""6"":1,""7"":0}",44,1
218,农村、初中4*接力,"[分,秒]","{""1"":18,""2"":14,""3"":12,""4"":10,""5"":8,""6"":6,""7"":4,""8"":2,""9"":0}",44,1
219,农村、初中400米，800米，1500米,"[分,秒]","{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",44,1
220,农村、初中田赛通用,[米],"{""1"":10,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",44,1
